s,x,y,theta,velocity
10.930800,-1.794500,-7.174800,-0.338000,2.444000
10.969000,-1.758300,-7.187000,-0.315300,2.402000
11.007200,-1.721800,-7.198500,-0.291700,2.365000
11.045400,-1.685100,-7.209000,-0.267500,2.344000
11.083600,-1.648200,-7.218600,-0.243000,2.347000
11.121800,-1.611000,-7.227400,-0.218900,2.364000
11.160100,-1.573600,-7.235200,-0.195100,2.382000
11.198300,-1.536000,-7.242200,-0.171700,2.401000
11.236600,-1.498200,-7.248300,-0.148700,2.419000
11.274900,-1.460300,-7.253600,-0.126000,2.437000
11.313200,-1.422200,-7.257900,-0.103500,2.455000
11.351500,-1.384000,-7.261500,-0.081500,2.473000
11.389900,-1.345800,-7.264200,-0.059700,2.489000
11.428300,-1.307500,-7.266000,-0.038100,2.491000
11.466600,-1.269100,-7.267100,-0.016400,2.466000
11.505000,-1.230800,-7.267300,0.006100,2.423000
11.543300,-1.192400,-7.266600,0.029400,2.376000
11.581700,-1.154100,-7.265000,0.053600,2.330000
11.620000,-1.115900,-7.262500,0.078800,2.285000
11.658200,-1.077700,-7.259000,0.105000,2.241000
11.696400,-1.039800,-7.254500,0.132200,2.198000
11.734600,-1.002000,-7.248900,0.160400,2.158000
11.772800,-0.964400,-7.242300,0.189600,2.129000
11.810900,-0.927000,-7.234600,0.219300,2.139000
11.849100,-0.889900,-7.225700,0.248000,2.192000
11.887200,-0.853100,-7.215800,0.274500,2.243000
11.925400,-0.816400,-7.205000,0.299000,2.294000
11.963700,-0.780100,-7.193300,0.321200,2.343000
12.001900,-0.743900,-7.180900,0.341300,2.392000
12.040300,-0.707900,-7.167700,0.359200,2.439000
12.078600,-0.672100,-7.153900,0.375000,2.486000
12.117000,-0.636500,-7.139600,0.389000,2.532000
12.155300,-0.601100,-7.124800,0.403100,2.494000
12.193700,-0.566000,-7.109500,0.419700,2.416000
12.232000,-0.531100,-7.093600,0.439400,2.336000
12.270200,-0.496600,-7.076900,0.462300,2.252000
12.308400,-0.462600,-7.059500,0.488300,2.166000
12.346600,-0.429200,-7.041100,0.517600,2.076000
12.384800,-0.396300,-7.021700,0.550200,1.982000
12.422900,-0.364100,-7.001200,0.585600,1.927000
12.461100,-0.332700,-6.979500,0.622000,1.930000
12.499300,-0.302100,-6.956700,0.657400,1.969000
12.537600,-0.272200,-6.932800,0.691100,2.017000
12.575900,-0.243100,-6.907900,0.723300,2.067000
12.614200,-0.214800,-6.882100,0.753900,2.118000
12.652600,-0.187200,-6.855400,0.783100,2.170000
12.690900,-0.160400,-6.828000,0.811000,2.222000
12.729300,-0.134400,-6.799800,0.837500,2.273000
12.767500,-0.109100,-6.771000,0.862900,2.319000
12.805800,-0.084600,-6.741600,0.887400,2.363000
12.844000,-0.060800,-6.711700,0.910900,2.411000
12.882300,-0.037700,-6.681200,0.933400,2.458000
12.920500,-0.015300,-6.650300,0.955000,2.504000
12.958700,0.006500,-6.618800,0.975700,2.549000
12.997000,0.027600,-6.587000,0.995400,2.594000
13.035200,0.048100,-6.554700,1.014100,2.638000
13.073500,0.068000,-6.522000,1.032000,2.681000
13.111700,0.087300,-6.489000,1.049700,2.723000
13.150000,0.106100,-6.455600,1.067700,2.709000
13.188300,0.124300,-6.421900,1.086200,2.671000
13.226500,0.141800,-6.387900,1.105200,2.633000
13.264800,0.158600,-6.353600,1.124800,2.596000
13.303000,0.174800,-6.318900,1.144900,2.560000
13.341200,0.190200,-6.283900,1.165600,2.525000
13.379400,0.204900,-6.248600,1.186900,2.491000
13.417700,0.218800,-6.213100,1.208800,2.469000
13.455900,0.232000,-6.177200,1.230800,2.480000
13.494100,0.244300,-6.141000,1.252300,2.526000
13.532300,0.255900,-6.104600,1.272700,2.571000
13.570500,0.266700,-6.068000,1.292200,2.615000
13.608700,0.276900,-6.031100,1.310600,2.658000
13.647000,0.286400,-5.994100,1.328100,2.701000
13.685300,0.295300,-5.956800,1.344600,2.743000
13.723500,0.303600,-5.919500,1.360100,2.785000
13.761800,0.311300,-5.882000,1.374700,2.826000
13.800000,0.318500,-5.844400,1.388300,2.866000
13.838300,0.325200,-5.806800,1.401000,2.906000
13.876500,0.331400,-5.769100,1.412600,2.945000
13.914700,0.337200,-5.731300,1.423100,2.984000
13.952900,0.342700,-5.693500,1.432500,3.022000
13.991100,0.347800,-5.655600,1.440900,3.060000
14.029300,0.352600,-5.617700,1.448100,3.097000
14.067500,0.357100,-5.579800,1.454300,3.134000
14.105600,0.361400,-5.541900,1.459400,3.170000
14.143800,0.365600,-5.503900,1.463400,3.206000
14.182000,0.369600,-5.465900,1.466300,3.241000
14.220200,0.373600,-5.427900,1.468100,3.277000
14.258400,0.377400,-5.389900,1.469300,3.311000
14.296600,0.381300,-5.352000,1.470100,3.346000
14.334800,0.385100,-5.314000,1.470700,3.380000
14.373000,0.388900,-5.276000,1.471200,3.414000
14.411200,0.392700,-5.238000,1.471500,3.447000
14.449400,0.396500,-5.200000,1.471500,3.480000
14.487600,0.400300,-5.161900,1.471400,3.513000
14.525800,0.404100,-5.123900,1.471100,3.545000
14.563900,0.407900,-5.085900,1.470600,3.577000
14.602100,0.411700,-5.047900,1.469900,3.609000
14.640300,0.415600,-5.010000,1.469100,3.641000
14.678500,0.419500,-4.972000,1.468500,3.672000
14.716700,0.423400,-4.934000,1.468300,3.703000
14.754900,0.427300,-4.896000,1.468800,3.734000
14.793100,0.431200,-4.858000,1.469800,3.765000
14.831300,0.435000,-4.820000,1.471400,3.795000
14.869500,0.438700,-4.782000,1.473600,3.825000
14.907700,0.442400,-4.743900,1.476300,3.855000
14.945900,0.445900,-4.705900,1.479700,3.885000
14.984100,0.449400,-4.667900,1.483600,3.914000
15.022300,0.452600,-4.629800,1.488100,3.943000
15.060400,0.455700,-4.591800,1.493100,3.972000
15.098600,0.458500,-4.553700,1.498200,4.001000
15.136800,0.461200,-4.515600,1.502700,4.029000
15.175000,0.463700,-4.477500,1.506500,4.058000
15.213200,0.466100,-4.439400,1.509500,4.086000
15.251400,0.468400,-4.401300,1.511900,4.114000
15.289600,0.470600,-4.363100,1.513500,4.142000
15.327800,0.472800,-4.325000,1.514400,4.169000
15.366000,0.474900,-4.286900,1.514500,4.196000
15.404200,0.477100,-4.248700,1.514000,4.224000
15.442400,0.479300,-4.210600,1.512700,4.251000
15.480500,0.481500,-4.172500,1.510800,4.278000
15.518700,0.483800,-4.134300,1.508500,4.304000
15.556900,0.486300,-4.096200,1.506500,4.331000
15.595100,0.488700,-4.058100,1.505000,4.357000
15.633300,0.491300,-4.020000,1.504000,4.383000
15.671500,0.493800,-3.981900,1.503500,4.409000
15.709700,0.496400,-3.943800,1.503400,4.435000
15.747900,0.499000,-3.905700,1.503900,4.461000
15.786100,0.501500,-3.867600,1.504800,4.487000
15.824300,0.504000,-3.829500,1.506200,4.512000
15.862500,0.506500,-3.791400,1.508100,4.538000
15.900600,0.508800,-3.753200,1.510400,4.563000
15.938800,0.511100,-3.715100,1.513100,4.588000
15.977000,0.513200,-3.677000,1.516000,4.613000
16.015200,0.515200,-3.638900,1.519000,4.637000
16.053400,0.517200,-3.600700,1.522000,4.662000
16.091600,0.519000,-3.562600,1.525200,4.687000
16.129800,0.520600,-3.524400,1.528500,4.711000
16.168000,0.522200,-3.486200,1.531900,4.735000
16.206200,0.523600,-3.448100,1.535500,4.759000
16.244400,0.524900,-3.409900,1.539100,4.783000
16.282600,0.526000,-3.371700,1.542800,4.807000
16.320800,0.527000,-3.333500,1.546600,4.831000
16.359000,0.527900,-3.295400,1.550100,4.855000
16.397100,0.528600,-3.257200,1.552900,4.878000
16.435300,0.529200,-3.219000,1.555200,4.902000
16.473500,0.529800,-3.180800,1.556700,4.925000
16.511700,0.530300,-3.142600,1.557700,4.948000
16.549900,0.530800,-3.104400,1.557900,4.971000
